0.590 0.050 0.909
0.610 0.050 0.905
0.630 0.050 0.899
0.650 0.050 0.894
0.670 0.050 0.887
0.690 0.050 0.880
0.710 0.050 0.873
0.730 0.050 0.864
0.750 0.050 0.854
0.770 0.050 0.842
0.790 0.050 0.828
0.810 0.050 0.812
0.830 0.050 0.793
0.850 0.050 0.769
0.870 0.050 0.740
0.890 0.050 0.703
0.910 0.050 0.654
0.930 0.050 0.589
0.950 0.050 0.499
0.970 0.050 0.376
0.990 0.050 0.209
1.000 0.050 0.000
0.000 0.070 1.000
0.010 0.070 0.996
0.030 0.070 0.993
0.050 0.070 0.989
0.070 0.070 0.985
0.090 0.070 0.982
0.110 0.070 0.978
0.130 0.070 0.975
0.150 0.070 0.971
0.170 0.070 0.967
0.190 0.070 0.964
0.210 0.070 0.960
0.230 0.070 0.957
0.250 0.070 0.953
0.270 0.070 0.949
0.290 0.070 0.946
0.310 0.070 0.942
0.330 0.070 0.938
0.350 0.070 0.934
0.370 0.070 0.931
0.390 0.070 0.927
0.410 0.070 0.923
0.430 0.070 0.919
0.450 0.070 0.915
0.470 0.070 0.910
0.490 0.070 0.906
0.510 0.070 0.901
0.530 0.070 0.896
0.550 0.070 0.891
0.570 0.070 0.886
0.590 0.070 0.880
0.610 0.070 0.873
0.630 0.070 0.867
0.650 0.070 0.859
0.670 0.070 0.851
0.690 0.070 0.842
0.710 0.070 0.832
0.730 0.070 0.820
0.750 0.070 0.807
0.770 0.070 0.793
0.790 0.070 0.775
0.810 0.070 0.755
0.830 0.070 0.731
0.850 0.070 0.702
0.870 0.070 0.667
0.890 0.070 0.623
0.910 0.070 0.569
0.930 0.070 0.499
0.950 0.070 0.410
0.970 0.070 0.297
0.990 0.070 0.158
1.000 0.070 0.000
0.000 0.090 1.000
0.010 0.090 0.995
0.030 0.090 0.991
0.050 0.090 0.986
0.070 0.090 0.982
0.090 0.090 0.977
0.110 0.090 0.973
0.130 0.090 0.968
0.150 0.090 0.964
0.170 0.090 0.959
0.190 0.090 0.955
0.210 0.090 0.950
0.230 0.090 0.946
0.250 0.090 0.941
0.270 0.090 0.937
0.290 0.090 0.932
0.310 0.090 0.928
0.330 0.090 0.923
0.350 0.090 0.918
0.370 0.090 0.914
0.390 0.090 0.909
0.410 0.090 0.904
0.430 0.090 0.899
0.450 0.090 0.894
0.470 0.090 0.888
0.490 0.090 0.883
0.510 0.090 0.877
0.530 0.090 0.871
0.550 0.090 0.865
0.570 0.090 0.858
0.590 0.090 0.851
0.610 0.090 0.843
0.630 0.090 0.835
0.650 0.090 0.825
0.670 0.090 0.815
0.690 0.090 0.804
0.710 0.090 0.792
0.730 0.090 0.779
0.750 0.090 0.763
0.770 0.090 0.745
0.790 0.090 0.725
0.810 0.090 0.702
0.830 0.090 0.674
0.850 0.090 0.641
0.870 0.090 0.603
0.890 0.090 0.555
0.910 0.090 0.498
0.930 0.090 0.429
0.950 0.090 0.344
0.970 0.090 0.243
0.990 0.090 0.127
1.000 0.090 0.000
0.000 0.110 1.000
0.010 0.110 0.995
0.030 0.110 0.989
0.050 0.110 0.984
0.070 0.110 0.978
0.090 0.110 0.973
0.110 0.110 0.967
0.130 0.110 0.962
0.150 0.110 0.956
0.170 0.110 0.951
0.190 0.110 0.946
0.210 0.110 0.940
0.230 0.110 0.935
0.250 0.110 0.930
0.270 0.110 0.924
0.290 0.110 0.919
0.310 0.110 0.913
0.330 0.110 0.908
0.350 0.110 0.902
0.370 0.110 0.896
0.390 0.110 0.891
0.410 0.110 0.885
0.430 0.110 0.879
0.450 0.110 0.873
0.470 0.110 0.867
0.490 0.110 0.860
0.510 0.110 0.853
0.530 0.110 0.846
0.550 0.110 0.838
0.570 0.110 0.831
0.590 0.110 0.822
